country,continent,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mozambique,Africa,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,244,222,183,169,169,164,189,205,217,216,221,200,213,218,215,232,251,270,294,289,315,334,347,364,377,402,421,440,455,471,492,514,535,558,579,584,589,591,587
Myanmar,Asia,153,151,154,170,157,170,158,145,159,160,164,167,167,162,167,169,176,182,190,195,206,214,222,227,233,235,228,215,187,191,194,190,206,216,229,242,255,266,278,304,342,377,418,471,531,598,671,747,819,899,979,1030,1090,1170,1260,1340,1400,1480,1570,1610
Nepal,Asia,266,267,268,268,284,275,289,280,276,283,284,275,278,271,282,280,286,288,294,294,281,297,302,286,306,318,325,323,340,347,354,367,372,376,396,400,411,422,426,437,455,469,463,474,490,500,511,522,548,568,592,612,643,671,711,732,730,779,818,859
Netherlands,Europe,16400,16200,17100,17500,18700,20000,20300,21100,22200,23400,24500,25300,25900,27100,27800,27600,28600,29100,29700,30100,30300,29800,29300,29800,30600,31200,31900,32300,33200,34500,35700,36300,36600,36800,37700,38700,39800,41400,43000,44900,46400,47200,47000,46800,47600,48400,50000,51800,52700,50500,51000,51500,50800,50600,51100,51900,52700,53900,55000,55700
Niger,Africa,823,836,896,952,926,962,932,906,884,813,814,837,772,623,659,623,609,638,703,732,695,680,671,621,502,525,543,528,548,536,513,496,490,476,468,462,448,439,465,449,428,442,447,441,427,440,449,446,463,454,473,466,496,503,516,518,527,532,548,558
Nigeria,Africa,1370,1340,1370,1460,1500,1540,1440,1190,1150,1390,1700,1900,1920,1970,2130,1970,2090,2150,1960,2030,2060,1740,1580,1370,1320,1370,1330,1340,1400,1390,1520,1480,1510,1440,1380,1350,1370,1380,1380,1350,1380,1430,1610,1680,1790,1860,1920,1990,2070,2180,2290,2350,2380,2480,2560,2560,2460,2410,2400,2390
Pakistan,Asia,302,313,319,338,355,382,393,404,422,433,469,459,450,469,472,478,488,492,515,518,553,577,594,614,624,649,663,684,714,727,737,752,788,780,787,804,819,804,801,808,820,828,829,856,900,937,970,994,988,993,987,993,1010,1030,1050,1080,1120,1160,1200,1190
Papua New Guinea,Australia/Oceania,1010,1060,1100,1130,1200,1290,1340,1360,1390,1470,1590,1650,1710,1770,1780,1720,1620,1590,1680,1670,1590,1540,1510,1510,1470,1490,1520,1520,1530,1470,1390,1490,1660,1920,1980,1870,1970,1850,1730,1720,1640,1610,1570,1570,1580,1650,1700,1780,1740,1810,1950,1930,1980,2010,2240,2400,2450,2490,2420,2510
Peru,South America,2660,2780,2970,3010,3120,3200,3370,3400,3310,3330,3350,3410,3430,3550,3780,3840,3790,3710,3520,3570,3690,3800,3700,3240,3270,3270,3490,3750,3320,2850,2650,2650,2590,2670,2950,3110,3140,3280,3210,3200,3240,3220,3360,3460,3600,3800,4050,4360,4720,4730,5080,5360,5640,5920,6000,6110,6260,6310,6450,6490
Philippines,Asia,1100,1120,1140,1180,1180,1210,1220,1250,1270,1290,1310,1340,1370,1450,1460,1500,1590,1630,1670,1710,1750,1760,1780,1760,1590,1430,1440,1470,1530,1580,1590,1540,1510,1500,1530,1570,1620,1670,1620,1630,1670,1680,1710,1760,1840,1890,1960,2050,2110,2100,2220,2260,2380,2500,2610,2740,2890,3040,3190,3340
Poland,Europe,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5950,5510,5630,5830,6120,6540,6930,7370,7710,8070,8530,8640,8820,9140,9610,9950,10600,11300,11800,12100,12600,13200,13400,13600,14100,14600,15100,15800,16700,17400
Portugal,Europe,4500,4710,4990,5260,5590,6030,6320,6840,7480,7710,8760,9380,10100,11300,11300,10400,10800,11200,11400,12000,12400,12500,12700,12600,12300,12600,13100,13900,15000,16000,16700,17400,17600,17300,17400,18100,18600,19400,20200,20900,21500,21800,21800,21500,21900,22000,22300,22800,22900,22100,22500,22100,21300,21300,21500,22000,22500,23400,24000,24600
Romania,Europe,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,5380,4730,4350,4420,4600,4900,5110,4870,4780,4770,4900,5220,5620,5800,6440,6780,7370,8020,8910,8490,8210,8420,8630,8970,9310,9710,10200,11000,11600,12100
Russia,Europe,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9880,9570,9060,7740,7070,6180,5930,5710,5800,5510,5880,6490,6850,7210,7770,8360,8930,9690,10500,11100,10200,10700,11100,11600,11700,11600,11400,11400,11600,11800,12000
Rwanda,Africa,353,331,361,320,275,288,300,312,323,348,357,351,342,343,338,321,371,366,387,418,440,449,442,454,419,420,422,401,401,391,381,382,427,420,221,303,332,354,355,344,353,369,408,410,434,467,498,523,566,585,612,645,683,698,723,768,793,803,849,905
Saudi Arabia,Asia,14300,14300,14300,14300,14300,14300,14300,14300,14300,14500,22100,25500,29900,35400,39200,33900,38000,38700,34800,36800,36700,35200,26200,20600,18500,15800,17600,15700,17000,16300,18100,20200,20300,19500,19100,18700,18800,18700,18900,17800,18400,17700,16700,18000,18900,19400,19400,19200,19800,18900,19300,20600,21000,20900,21100,21400,21300,20700,20800,20500
Senegal,Africa,1360,1360,1330,1310,1330,1310,1310,1260,1300,1180,1240,1200,1240,1140,1150,1200,1280,1210,1140,1190,1120,1140,1200,1100,1110,1110,1110,1140,1100,1110,1070,1070,1050,1030,1000,1030,1020,1030,1070,1110,1120,1140,1120,1160,1200,1240,1240,1260,1280,1270,1280,1260,1290,1290,1340,1380,1430,1500,1550,1580
Serbia,Europe,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3260,3500,3630,3300,3520,3770,4010,4200,4580,4850,5120,5470,5810,5670,5740,5900,5890,6090,6020,6160,6390,6560,6890,7210
Sierra Leone,Africa,373,374,385,385,404,426,426,419,420,447,477,484,478,479,486,484,471,462,462,473,485,488,500,479,487,449,442,459,415,408,415,422,342,348,343,316,321,300,303,291,302,273,330,345,352,354,357,376,387,390,402,418,470,555,568,441,458,467,473,488
South Africa,Africa,4620,4690,4850,5080,5350,5530,5630,5880,5970,6090,6240,6340,6270,6390,6600,6540,6520,6360,6390,6470,6720,6900,6680,6380,6530,6280,6130,6110,6220,6230,6060,5850,5590,5520,5560,5620,5750,5790,5730,5780,5940,6020,6160,6270,6470,6730,7020,7300,7430,7220,7330,7450,7500,7560,7580,7560,7480,7480,7430,7350
South Korea,Asia,932,968,977,1040,1100,1160,1260,1350,1490,1670,1790,1940,2050,2310,2490,2640,2940,3250,3550,3800,3680,3880,4140,4630,5060,5400,5950,6640,7370,7810,8500,9320,9790,10400,11200,12200,13000,13700,12900,14300,15400,16000,17200,17600,18500,19200,20100,21200,21700,21700,23100,23800,24200,24900,25500,26100,26700,27500,28100,28600
Spain,Europe,7380,8170,8900,9670,10100,10600,11300,11600,12200,13200,13600,14000,15000,16000,16700,16600,17000,17300,17400,17200,17500,17300,17400,17700,17900,18300,18800,19800,20700,21700,22500,23000,23100,22800,23200,23700,24300,25100,26100,27100,28400,29300,29700,30000,30400,31000,31800,32300,32100,30600,30500,30100,29200,28900,29400,30500,31400,32300,32900,33300
